Suite	time_1	time_2	time_3	time_4	time_5	time_6	time_7	time_8	time_9	time_10
TestTest	0	0	0	0	0	0	0	0	0	0
GeneralCorrectness	2703	2639	2458	2489	3104	2506	3062	2859	2800	2891
TrainsTest	0	0	0	0	0	0	0	0	0	0
TrainsWithBridgeTest	0	0	0	0	0	0	0	0	0	1
SimpleVotingTest	870	873	873	874	883	926	957	895	1232	1358
SimpleVotingWithFakesTest	1041	1044	1043	1050	1067	1057	1102	1065	1052	1070
SimpleVotingWithFakesNotGiveTest	1042	1043	1043	1140	1091	1095	1099	1068	1048	1056
SimpleVotingRunTest	16	16	16	17	17	17	16	31	17	16
ClockTest	22	22	22	22	23	25	22	38	22	22
Total	5698	5640	5458	5596	6188	5630	6262	5959	6175	6418
